序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,Chest_Axis_Commission_Speed,REAL,,0.000000,保持,私有,胸背轴调试速度,D1000,
2,Chest_Axis_Commission_IncPosition,REAL,,0.000000,保持,私有,胸背轴调试相对运动距离,D1002,
3,Chest_Axis_Commission_AbsPosition,REAL,,0.000000,保持,私有,胸背轴调试绝对运动目标位置,D1004,
4,Leg_Axis_Commission_Speed,REAL,,0.000000,保持,私有,臀腿轴调试速度,D1006,
5,Leg_Axis_Commission_IncPosition,REAL,,0.000000,保持,私有,臀腿轴调试相对运动距离,D1008,
6,Leg_Axis_Commission_AbsPosition,REAL,,0.000000,保持,私有,臀腿轴调试绝对运动目标位置,D1010,
7,Seat_Axis_Commission_Speed,REAL,,0.000000,保持,私有,臀盘轴调试速度,D1012,
8,Seat_Axis_Commission_IncPosition,REAL,,0.000000,保持,私有,臀盘轴调试相对运动距离,D1014,
9,Seat_Axis_Commission_AbsPosition,REAL,,0.000000,保持,私有,臀盘轴调试绝对运动目标位置,D1016,
10,Chest_Axis_Commission_ServoOn,BOOL,,OFF,不保持,私有,胸背轴调试使能,M200,
11,Chest_Axis_Commission_JogForward,BOOL,,OFF,不保持,私有,胸背轴调试Jog+,M201,
12,Chest_Axis_Commission_JogBackward,BOOL,,OFF,不保持,私有,胸背轴调试Job-,M202,
13,Chest_Axis_Commission_IncForwardCMD,BOOL,,OFF,不保持,私有,胸背轴调试相对运动+,M203,
14,Chest_Axis_Commission_IncBackwardCMD,BOOL,,OFF,不保持,私有,胸背轴调试相对运动-,M204,
15,Chest_Axis_Commission_AbsCMD,BOOL,,OFF,不保持,私有,胸背轴调试绝对运动,M205,
16,Leg_Axis_Commission_ServoOn,BOOL,,OFF,不保持,私有,臀腿轴调试使能,M206,
17,Leg_Axis_Commission_JogForward,BOOL,,OFF,不保持,私有,臀腿轴调试Jog+,M207,
18,Leg_Axis_Commission_JogBackward,BOOL,,OFF,不保持,私有,臀腿轴调试Job-,M208,
19,Leg_Axis_Commission_IncForwardCMD,BOOL,,OFF,不保持,私有,臀腿轴调试相对运动+,M209,
20,Leg_Axis_Commission_IncBackwardCMD,BOOL,,OFF,不保持,私有,臀腿轴调试相对运动-,M210,
21,Leg_Axis_Commission_AbsCMD,BOOL,,OFF,不保持,私有,臀腿轴调试绝对运动,M211,
22,Seat_Axis_Commission_ServoOn,BOOL,,OFF,不保持,私有,臀盘轴调试使能,M212,
23,Seat_Axis_Commission_JogForward,BOOL,,OFF,不保持,私有,臀盘轴调试Jog+,M213,
24,Seat_Axis_Commission_JogBackward,BOOL,,OFF,不保持,私有,臀盘轴调试Job-,M214,
25,Seat_Axis_Commission_IncForwardCMD,BOOL,,OFF,不保持,私有,臀盘轴调试相对运动+,M215,
26,Seat_Axis_Commission_IncBackwardCMD,BOOL,,OFF,不保持,私有,臀盘轴调试相对运动-,M216,
