序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,pushRodA,BOOL,,OFF,不保持,私有,推杆-A,X0,
2,pushRodB,BOOL,,OFF,不保持,私有,推杆-B,X1,
3,emergencyStop1,BOOL,,OFF,不保持,私有,急停1,X2,
4,emergencyStop2,BOOL,,OFF,不保持,私有,急停2,X3,
5,safetyRelayStatus,BOOL,,OFF,不保持,私有,安全继电器状态,X4,
6,pushRodInPosition,BOOL,,OFF,不保持,私有,推杆到位,X5,
7,footSwitchStart,BOOL,,OFF,不保持,私有,脚踏启动,X6,
8,resetButton,BOOL,,OFF,不保持,私有,复位按钮,X7,
9,lightStripYellow,BOOL,,OFF,不保持,私有,灯带—黄,Y0,
10,lightStripGreen,BOOL,,OFF,不保持,私有,灯带—绿,Y1,
11,lightStripRed,BOOL,,OFF,不保持,私有,灯带—红,Y2,
12,stretchAxisBrake,BOOL,,OFF,不保持,私有,床板拉伸轴抱闸,Y3,
13,swingAxisBrake,BOOL,,OFF,不保持,私有,床板摆动轴抱闸,Y4,
14,pushRodForward,BOOL,,OFF,不保持,私有,推杆前进,Y5,
15,pushRodBackward,BOOL,,OFF,不保持,私有,推杆后退,Y6,
16,normalStop,BOOL,,OFF,不保持,私有,普通停止,M101,
17,resetButton2,BOOL,,OFF,不保持,私有,触摸屏复位按钮,M102,
18,selectToOperation,BOOL,,OFF,不保持,私有,选择运行流程,M110,
19,selectToCommission,BOOL,,OFF,不保持,私有,选择调试流程,M111,
20,exitCommission,BOOL,,OFF,不保持,私有,退出调试流程,M120,
