序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,te_bCounterError,BOOL,,OFF,不保持,私有,高速计数器报错,,
2,tp_bValid,BOOL,,OFF,不保持,私有,,,
3,tp_bCounterError,BOOL,,OFF,不保持,私有,,,
4,rPosDiff,REAL,,0.000000,不保持,私有,,,
5,bImpactAtInit,BOOL,,OFF,不保持,私有,,,
6,bAngleAtInit,BOOL,,OFF,不保持,私有,,,
7,bTwistAtInit,BOOL,,OFF,不保持,私有,,,
8,bPusherAtInit,BOOL,,OFF,不保持,私有,,,
9,bAxesAllHomed,INT,,0,不保持,私有,,,
10,bAxesAllIdle,INT,,0,不保持,私有,,,
11,bResetDone,BOOL,,OFF,不保持,私有,,,
12,bCanTransit,BOOL,,OFF,不保持,私有,,,
13,bParamOK,BOOL,,OFF,不保持,私有,,,
14,iParamErr,INT,,0,不保持,私有,,,
15,iParamAxis,INT,,0,不保持,私有,,,
16,iParamField,INT,,0,不保持,私有,,,
17,Param_ChestImpact,Stru_AxisLimitConfig,,...,不保持,私有,,,
,Param_ChestImpact.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,Param_ChestImpact.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,Param_ChestImpact.rInitPos,REAL,,0.000000,,,初始位置,,
,Param_ChestImpact.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,Param_ChestImpact.rMaxVel,REAL,,0.000000,,,最大速度,,
,Param_ChestImpact.rMinVel,REAL,,0.000000,,,最小速度,,
,Param_ChestImpact.rMaxAcc,REAL,,0.000000,,,加速度,,
,Param_ChestImpact.rMaxDec,REAL,,0.000000,,,减速度,,
,Param_ChestImpact.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,Param_ChestImpact.diTimeout,DINT,,0,,,超时报警,,
18,Param_LegAngle,Stru_AxisLimitConfig,,...,不保持,私有,,,
,Param_LegAngle.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,Param_LegAngle.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,Param_LegAngle.rInitPos,REAL,,0.000000,,,初始位置,,
,Param_LegAngle.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,Param_LegAngle.rMaxVel,REAL,,0.000000,,,最大速度,,
,Param_LegAngle.rMinVel,REAL,,0.000000,,,最小速度,,
,Param_LegAngle.rMaxAcc,REAL,,0.000000,,,加速度,,
,Param_LegAngle.rMaxDec,REAL,,0.000000,,,减速度,,
,Param_LegAngle.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,Param_LegAngle.diTimeout,DINT,,0,,,超时报警,,
19,Param_SeatTwist,Stru_AxisLimitConfig,,...,不保持,私有,,,
,Param_SeatTwist.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
