序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,System,Stru_System,,...,不保持,私有,系统顶层聚合对象,,
,System.Input,Stru_SystemInput,,...,,,物理输入 (急停/复位/脚踏/安全门),,
,System.Input.bEstopActive,BOOL,,OFF,,,急停 (NC通常为0，此处为逻辑触发状态),,
,System.Input.bResetActive,BOOL,,OFF,,,复位按钮,,
,System.Input.bFootSwitchActive,BOOL,,OFF,,,脚踏,,
,System.Input.bPusherOrigin,BOOL,,OFF,,,电推杆原点传感器 (TRUE=在原点位置) 用于标定和回零逻辑,,
,System.Input.bSafetyDoorOpen,BOOL,,OFF,,,全门状态 (TRUE=门打开/不安全),,
,System.Input.bSafetyDoorActive,BOOL,,OFF,,,安全门功能开关 (TRUE=启用检测),,
,System.Input.bPad0,BOOL,,OFF,,,对齐填充 (保证结构体 WORD 对齐),,
,System.Input.bPad1,BOOL,,OFF,,,,,
,System.Cmd,Stru_SystemCmd,,...,,,系统指令 (HMI 写入),,
,System.Cmd.bTriggerEmergency,BOOL,,OFF,,,HMI 触发软急停 (如界面上的急停按钮),,
,System.Cmd.bHardStop,BOOL,,OFF,,,升级硬急停,,
,System.Cmd.bStop,BOOL,,OFF,,,通用停止 (软停止，减速停车),,
,System.Cmd.bAutoReq,BOOL,,OFF,,,自动模式请求,,
,System.Cmd.bServiceReq,BOOL,,OFF,,,手动模式请求,,
,System.Cmd.bHomingReq,BOOL,,OFF,,,回零请求,,
,System.Cmd.bResetReq,BOOL,,OFF,,,复位请求,,
,System.Cmd.bCalibReq,BOOL,,OFF,,,校准请求,,
,System.Cmd.bServiceDone,BOOL,,OFF,,,服务完成 → READY_CHECK(3),,
,System.Cmd.bReadyCheckReq,BOOL,,OFF,,,手动重新资格检查,,
,System.Cmd.bQuickStart,BOOL,,OFF,,,操作员快速启动 (需 bSkipSelfTestAllowed),,
,System.Cmd.bForceSkipSelfTest,BOOL,,OFF,,,管理员强制跳过自检 (需 bForceSkipSelfTestAllowed),,
,System.Cmd.bClearZeroRetain,BOOL,,OFF,,,清除建零 Retain,,
,System.Cmd.bAckError,BOOL,,OFF,,,确认报警,,
,System.Cmd.bLearnImpactBias,BOOL,,OFF,,,冲击轴扭矩基线学习请求,,
,System.Cmd.bRevalidateParams,BOOL,,OFF,,,HMI 请求重新校验参数,,
,System.Cmd.bAllPowerOn,BOOL,,OFF,,,全部上电/使能,,
,System.Cmd.bAllPowerOff,BOOL,,OFF,,,全部断电/去使能,,
,System.Cmd.bServiceAuthConfirm,BOOL,,OFF,,,"维护授权软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bNoLoadConfirm,BOOL,,OFF,,," 无负载软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bServiceMechHomeReq,BOOL,,OFF,,,"维护授权软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bInitializeReq,BOOL,,OFF,,,开机初始化请求,,
,System.Cmd.bSelfTestConfirm,BOOL,,OFF,,,[V4.3] HMI 确认安全，开始动态自检,,
,System.Cmd.bSelfTestSkip,BOOL,,OFF,,,HMI 要求跳过动态自检,,
,System.Cmd.bSelfTestEngAuth,BOOL,,OFF,,,"自检工程师授权 (电平, 允许有限步骤跳过)",,
,System.Cmd.bResetDoneAck,BOOL,,OFF,,,"复位完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",,
,System.Cmd.bStartSelfTest,BOOL,,OFF,,,,,
,System.Cmd.bHomingDoneAck,BOOL,,OFF,,,"普通回零完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",,
,System.Status,Stru_SystemStatus,,...,,,系统状态 (只读),,
,System.Status.iState,INT,,0,,,"主状态机 (唯一写入 MODE_MANAGER)                                    // 0=INIT 3=READY_CHECK 5=SELFTEST 10=STANDBY",,
,System.Status.iPrevState,INT,,0,,,上一状态 (诊断/回退判断),,
