序号,变量名,数据类型,隐藏初始值,初始值,注释,
1,rTrigStart,TRIG.R_TRIG,,...,S1 启动流程,
,rTrigStart.CLK,BOOL,,OFF,,
,rTrigStart.Q,BOOL,,OFF,,
,rTrigStart.M,BOOL,,OFF,,
2,rTrigChengJiao,TRIG.R_TRIG,,...,S2 开始成角,
,rTrigChengJiao.CLK,BOOL,,OFF,,
,rTrigChengJiao.Q,BOOL,,OFF,,
,rTrigChengJiao.M,BOOL,,OFF,,
3,rTrigAllow,TRIG.R_TRIG,,...,S3 确认,
,rTrigAllow.CLK,BOOL,,OFF,,
,rTrigAllow.Q,BOOL,,OFF,,
,rTrigAllow.M,BOOL,,OFF,,
4,rTrigStop,TRIG.R_TRIG,,...,停止,
,rTrigStop.CLK,BOOL,,OFF,,
,rTrigStop.Q,BOOL,,OFF,,
,rTrigStop.M,BOOL,,OFF,,
5,rTrigReset,TRIG.R_TRIG,,...,复位错误,
,rTrigReset.CLK,BOOL,,OFF,,
,rTrigReset.Q,BOOL,,OFF,,
,rTrigReset.M,BOOL,,OFF,,
6,rTrigHard,TRIG.R_TRIG,,...,,
,rTrigHard.CLK,BOOL,,OFF,,
,rTrigHard.Q,BOOL,,OFF,,
,rTrigHard.M,BOOL,,OFF,,
7,rTrigSoft,TRIG.R_TRIG,,...,,
,rTrigSoft.CLK,BOOL,,OFF,,
,rTrigSoft.Q,BOOL,,OFF,,
,rTrigSoft.M,BOOL,,OFF,,
