序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,STATE_INIT,INT,,0,不保持,私有,系统初始化,,
2,STATE_READY_CHECK,INT,,3,不保持,私有,,,
3,STATE_SELFTEST,INT,,5,不保持,私有,开机自检,,
4,STATE_STANDBY,INT,,10,不保持,私有,待机模式,,
5,STATE_SERVICE_REQUIRED,INT,,15,不保持,私有,,,
6,STATE_AUTORUN,INT,,20,不保持,私有,自动运行模式,,
7,STATE_SERVICE,INT,,30,不保持,私有,手动模式,,
8,STATE_HOMING,INT,,40,不保持,私有,回零模式,,
9,STATE_CALIBRATE,INT,,45,不保持,私有,校准模式,,
10,STATE_RESET,INT,,50,不保持,私有,复位模式,,
11,STATE_STOPPING,INT,,60,不保持,私有,停止处理中,,
12,STATE_SOFT_ESTOP,INT,,110,不保持,私有,软急停状态,,
13,STATE_HARD_ESTOP,INT,,120,不保持,私有,硬急停锁定状态,,
14,STATE_PARAM_LIMITED,INT,,998,不保持,私有,参数受限模式,,
15,ESTOP_MODE_HARD,INT,,0,不保持,私有,硬急停直接断电,,
16,ESTOP_MODE_SOFT,INT,,1,不保持,私有,软急停减速处理,,
17,ERR_ESTOP_BUTTON,INT,,1001,不保持,私有,物理急停按钮,,
18,ERR_SOFTWARE_ESTOP,INT,,1002,不保持,私有,软件触发急停 l1,,
19,ERR_CRITICAL,INT,,1003,不保持,私有,严重系统错误 L1,,
20,ERR_SAFETY_DOOR,INT,,1004,不保持,私有,安全门打开 L1,,
21,ERR_HOMING_FAILED,INT,,1005,不保持,私有,急停回零失败 L1,,
22,ERR_TIMEOUT_ESCALATE,INT,,1006,不保持,私有,急停超时升级 | 软急停超时                            | L1,,
23,ERR_INIT_ESTOP,INT,,1101,不保持,私有,初始化时急停激活 L1,,
24,ERR_INIT_SERVO,INT,,1106,不保持,私有,启动时伺服轴报错 L2,,
25,ERR_INIT_PUSHER,INT,,1107,不保持,私有,初始化电推杆故障 | 启动时电推杆报错 L2,,
26,ERR_INIT_PARAM,INT,,1108,不保持,私有,初始化参数错误   | 参数校验失败 L3,,
27,ERR_INIT_NOT_ENABLED,INT,,1109,不保持,私有,初始化使能失败   | 轴使能超时 L2,,
28,ERR_ENABLE_LOST,INT,,1110,不保持,私有,运行中使能丢失,,
29,ERR_INIT_RESET_FAIL,INT,,1111,不保持,私有,初始化复位超时   | 系统复位超时 L3,,
30,ERR_POWER_TIMEOUT,INT,,1112,不保持,私有,,,
31,ERR_EMERGENCY_HOME_FAIL,INT,,1200,不保持,私有,紧急回零失败,,
32,ERR_LIMIT_ESCAPE_FAIL,INT,,1201,不保持,私有,限位脱离失败,,
33,ERR_ANTI_PINCH,INT,,1210,不保持,私有,防夹触发,,
34,ERR_FOLLOW_ERR_EXCESS,INT,,1211,不保持,私有,跟随误差过大,,
35,ERR_SELFTEST_ABORTED,INT,,1301,不保持,私有,自检中止,,
36,ERR_SELFTEST_CONFIRM_TIMEOUT,INT,,1302,不保持,私有,自检确认超时,,
37,ERR_SELFTEST_CALIB_FAIL,INT,,1303,不保持,私有,自检校准失败,,
38,ERR_SELFTEST_SERVO_FAIL,INT,,1304,不保持,私有,自检伺服失败,,
39,ERR_CHEST_FAULT,INT,,2001,不保持,私有,胸冲击轴故障,,
40,ERR_CHEST_LIMIT,INT,,2003,不保持,私有,胸冲击轴限位触发,,
41,ERR_LEG_FAULT,INT,,2101,不保持,私有,腿角度轴故障,,
