序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,Retain_ChestImpactConfig,Stru_AxisLimitConfig,,...,保持,私有,,,
,Retain_ChestImpactConfig.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,Retain_ChestImpactConfig.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,Retain_ChestImpactConfig.rInitPos,REAL,,0.000000,,,初始位置,,
,Retain_ChestImpactConfig.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,Retain_ChestImpactConfig.rMaxVel,REAL,,0.000000,,,最大速度,,
,Retain_ChestImpactConfig.rMinVel,REAL,,0.000000,,,最小速度,,
,Retain_ChestImpactConfig.rMaxAcc,REAL,,0.000000,,,加速度,,
,Retain_ChestImpactConfig.rMaxDec,REAL,,0.000000,,,减速度,,
,Retain_ChestImpactConfig.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,Retain_ChestImpactConfig.diTimeout,DINT,,0,,,超时报警,,
2,Retain_LegAngleConfig,Stru_AxisLimitConfig,,...,保持,私有,,,
,Retain_LegAngleConfig.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,Retain_LegAngleConfig.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,Retain_LegAngleConfig.rInitPos,REAL,,0.000000,,,初始位置,,
,Retain_LegAngleConfig.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,Retain_LegAngleConfig.rMaxVel,REAL,,0.000000,,,最大速度,,
,Retain_LegAngleConfig.rMinVel,REAL,,0.000000,,,最小速度,,
,Retain_LegAngleConfig.rMaxAcc,REAL,,0.000000,,,加速度,,
,Retain_LegAngleConfig.rMaxDec,REAL,,0.000000,,,减速度,,
,Retain_LegAngleConfig.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,Retain_LegAngleConfig.diTimeout,DINT,,0,,,超时报警,,
3,Retain_SeatTwistConfig,Stru_AxisLimitConfig,,...,保持,私有,,,
,Retain_SeatTwistConfig.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,Retain_SeatTwistConfig.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,Retain_SeatTwistConfig.rInitPos,REAL,,0.000000,,,初始位置,,
,Retain_SeatTwistConfig.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,Retain_SeatTwistConfig.rMaxVel,REAL,,0.000000,,,最大速度,,
,Retain_SeatTwistConfig.rMinVel,REAL,,0.000000,,,最小速度,,
,Retain_SeatTwistConfig.rMaxAcc,REAL,,0.000000,,,加速度,,
,Retain_SeatTwistConfig.rMaxDec,REAL,,0.000000,,,减速度,,
,Retain_SeatTwistConfig.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,Retain_SeatTwistConfig.diTimeout,DINT,,0,,,超时报警,,
4,Retain_TailTiltConfig,Stru_PusherLimitConfig,,...,保持,私有,,,
,Retain_TailTiltConfig.rMaxDeg,REAL,,0.000000,,,正限位 (°),,
,Retain_TailTiltConfig.rMinDeg,REAL,,0.000000,,,-27 负限位,,
,Retain_TailTiltConfig.rTolerance,REAL,,0.000000,,,到位容差 (用于判断 bAtInit),,
,Retain_TailTiltConfig.rInitialPosition,REAL,,0.000000,,,初始位置 初始位置角度 (回零目标),,
,Retain_TailTiltConfig.rMinTravel,REAL,,0.000000,,,"* 最小行程保护: 堵转检测前必须先走过的距离     * 单位: 脉冲     * 作用: 防止刚启动时因静摩擦力误判为堵转     * 建议值: 500~1000脉冲（约5~10°） *)",,
,Retain_TailTiltConfig.rHomePosition,REAL,,0.000000,,,原点位置,,
,Retain_TailTiltConfig.rPulsePerDeg,REAL,,0.000000,,,每度脉冲数,,
,Retain_TailTiltConfig.rAdOffset,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rAdScale,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rFitK0,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rFitK1,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rFitK2,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rFitK3,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rAdJumpLimitDeg,REAL,,0.000000,,,,,
,Retain_TailTiltConfig.rInertiaUp,REAL,,0.000000,,,正转惯性补偿 (脉冲),,
,Retain_TailTiltConfig.rInertiaDown,REAL,,0.000000,,,反转惯性补偿 (脉冲),,
,Retain_TailTiltConfig.rStallThreshold,REAL,,0.000000,,,堵转阈值 (脉冲),,
,Retain_TailTiltConfig.rStallSpeedThreshold,REAL,,0.000000,,,堵转速度阈值,,
,Retain_TailTiltConfig.diStallTimeout,DINT,,0,,,堵转判定时间 (如 T#500MS),,
,Retain_TailTiltConfig.diTimeout,DINT,,0,,,寻传感器超时 (ms) / 标定超时 (ms),,
,Retain_TailTiltConfig.diReverseDelay,DINT,,0,,,反向缓冲延时 (ms),,
,Retain_TailTiltConfig.diStopCheck,DINT,,0,,,停车滑行等待 (ms),,
,Retain_TailTiltConfig.diAdMin,DINT,,0,,,AD有效下限,,
,Retain_TailTiltConfig.diAdMax,DINT,,0,,,AD有效上限,,
,Retain_TailTiltConfig.diAdSampleMs,DINT,,0,,,AD速度估算采样周期 (ms),,
,Retain_TailTiltConfig.iMaxRetries,INT,,0,,,最大修正次数,,
,Retain_TailTiltConfig.iReferenceMode,INT,,0,,,,,
,Retain_TailTiltConfig.iPad,INT,,0,,,,,
,Retain_TailTiltConfig.bInvertPusherDirection,BOOL,,OFF,,,"输出方向取反, 用于不同接线/机构方向",,
5,Retain_CondDefaultParam,Stru_CondParams,,...,保持,私有,,,
,Retain_CondDefaultParam.SeatTwist,Stru_ReciprocationSettings,,...,,,座扭角轴配置,,
,Retain_CondDefaultParam.SeatTwist.arPosition,REAL[16],,...,,,"位置数组    (* 位置数组：定义多段运动的目标位置       示例：[0, 100, 50, 150] 表示 4 段运动       - 第1段：当前位置 → 0       - 第2段：0 → 100       - 第3段：1",,
,Retain_CondDefaultParam.SeatTwist.arPosition[0],REAL,,0.000000,,,,,
