序号,成员变量名,数据类型,注释,
1,Status,Stru_AxisStatus,"轴状态 (只读, 实时反馈)",
,Status.Servo,Stru_ServoAxisStatus,,
,Status.Servo.rActPosition,REAL,,
,Status.Servo.rActVelocity,REAL,,
,Status.Servo.rActTorque,REAL,,
,Status.Servo.iErrorCode,INT,,
,Status.Servo.iDriveErrorCode,INT,,
,Status.Servo.diDiscreteMotionTime,DINT,,
,Status.Servo.bEnabled,BOOL,,
,Status.Servo.bReady,BOOL,,
,Status.Servo.bBusy,BOOL,,
,Status.Servo.bDone,BOOL,,
,Status.Servo.bStandStill,BOOL,,
,Status.Servo.bInPosition,BOOL,,
,Status.Servo.bDiscreteMotion,BOOL,,
,Status.Servo.bMoveDone,BOOL,,
,Status.Servo.bZeroCommissioned,BOOL,,
,Status.Servo.bZeroCommissioning,BOOL,,
,Status.Servo.bOriginSwitch,BOOL,,
,Status.Servo.bPosLimit,BOOL,,
,Status.Servo.bNegLimit,BOOL,,
,Status.Servo.bError,BOOL,,
,Status.Servo.bStopping,BOOL,,
,Status.Servo.bEncoderFault,BOOL,,
,Status.Servo.pad0,BOOL,,
,Status.Servo.pad1,BOOL,,
,Status.Servo.pad2,BOOL,,
,Status.Servo.bPad3,BOOL,,
,Status.Force,Stru_AxisForceStatus,,
,Status.Force.rBiasPosPct,REAL,,
,Status.Force.rBiasNegPct,REAL,,
,Status.Force.rNetTorquePct,REAL,,
,Status.Force.rForceRawN,REAL,,
,Status.Force.rForceFiltN,REAL,,
,Status.Force.diOverForceET,DINT,,
,Status.Force.bForceValid,BOOL,,
,Status.Force.bBiasPosValid,BOOL,,
,Status.Force.bBiasNegValid,BOOL,,
,Status.Force.bOverForce,BOOL,,
,Status.Force.bOverForceLatched,BOOL,,
,Status.Force.bPad0,BOOL,,
,Status.iCurrentStep,INT,,
,Status.iPadInt,INT,,
,Status.diWaitingTime,DINT,,
,Status.diMotionTime,DINT,,
,Status.iErrorCode,INT,,
,Status.bCalibrated,BOOL,,
,Status.bError,BOOL,,
,Status.bWarning,BOOL,,
,Status.bAxisErrorStopping,BOOL,,
,Status.bAtInit,BOOL,,
,Status.bPad0,BOOL,,
2,Config,Stru_AxisLimitConfig,"轴配置 (出厂设定, Retain)",
,Config.rPosLimit,REAL,,
,Config.rNegLimit,REAL,,
,Config.rInitPos,REAL,,
,Config.rTolerance,REAL,,
,Config.rMaxVel,REAL,,
,Config.rMinVel,REAL,,
,Config.rMaxAcc,REAL,,
,Config.rMaxDec,REAL,,
,Config.diPulsePerDeg,DINT,,
,Config.diTimeout,DINT,,
3,ConfigBuffer,Stru_AxisLimitConfig,,
,ConfigBuffer.rPosLimit,REAL,,
,ConfigBuffer.rNegLimit,REAL,,
,ConfigBuffer.rInitPos,REAL,,
,ConfigBuffer.rTolerance,REAL,,
,ConfigBuffer.rMaxVel,REAL,,
,ConfigBuffer.rMinVel,REAL,,
,ConfigBuffer.rMaxAcc,REAL,,
,ConfigBuffer.rMaxDec,REAL,,
,ConfigBuffer.diPulsePerDeg,DINT,,
,ConfigBuffer.diTimeout,DINT,,
4,ConfigCmd,Stru_ConfigCmd, 配置操作指令,
,ConfigCmd.iErrorCode,INT,,
,ConfigCmd.bLoad,BOOL,,
,ConfigCmd.bApply,BOOL,,
,ConfigCmd.bSave,BOOL,,
,ConfigCmd.bResetDefault,BOOL,,
,ConfigCmd.bSuccess,BOOL,,
,ConfigCmd.bError,BOOL,,
,ConfigCmd.bPad0,BOOL,,
,ConfigCmd.bPad1,BOOL,,
5,Cmd,Stru_AxisCmd,,
,Cmd.bEnable,BOOL,,
,Cmd.bReset,BOOL,,
,Cmd.bZeroCommission,BOOL,,
,Cmd.bStop,BOOL,,
,Cmd.bMoveAbs,BOOL,,
,Cmd.bMoveRel,BOOL,,
,Cmd.bJogPos,BOOL,,
,Cmd.bJogNeg,BOOL,,
,Cmd.bAutoMove,BOOL,,
,Cmd.bMoveBuffer,BOOL,,
,Cmd.bRequestDisable,BOOL,,
,Cmd.bPad0,BOOL,,
,Cmd.pad1,BOOL,,
,Cmd.pad2,BOOL,,
,Cmd.pad3,BOOL,,
,Cmd.pad4,BOOL,,
6,Motion,Stru_AxisMotionParam,运动参数 (每次运动可变),
,Motion.rTargetPos,REAL,,
,Motion.rTargetVel,REAL,,
,Motion.rJogVel,REAL,,
,Motion.rAcc,REAL,,
,Motion.rDec,REAL,,
,Motion.rInitPos,REAL,,
,Motion.diTimeout,DINT,,
,Motion.rReserved,REAL,,
7,ReciprocalStatus,Stru_ReciprocationStatus,往复运动状态,
,ReciprocalStatus.adMotionDuration,DINT[16],,
,ReciprocalStatus.adMotionDuration[0],DINT,,
,ReciprocalStatus.adMotionDuration[1],DINT,,
,ReciprocalStatus.adMotionDuration[2],DINT,,
,ReciprocalStatus.adMotionDuration[3],DINT,,
,ReciprocalStatus.adMotionDuration[4],DINT,,
,ReciprocalStatus.adMotionDuration[5],DINT,,
,ReciprocalStatus.adMotionDuration[6],DINT,,
,ReciprocalStatus.adMotionDuration[7],DINT,,
,ReciprocalStatus.adMotionDuration[8],DINT,,
,ReciprocalStatus.adMotionDuration[9],DINT,,
,ReciprocalStatus.adMotionDuration[10],DINT,,
,ReciprocalStatus.adMotionDuration[11],DINT,,
,ReciprocalStatus.adMotionDuration[12],DINT,,
,ReciprocalStatus.adMotionDuration[13],DINT,,
,ReciprocalStatus.adMotionDuration[14],DINT,,
,ReciprocalStatus.adMotionDuration[15],DINT,,
,ReciprocalStatus.Motion,Stru_MoveBufferState,,
,ReciprocalStatus.Motion.iIndex,INT,,
,ReciprocalStatus.Motion.iErrorId,INT,,
,ReciprocalStatus.Motion.bDone,BOOL,,
,ReciprocalStatus.Motion.bBusy,BOOL,,
,ReciprocalStatus.Motion.bCommandAborted,BOOL,,
,ReciprocalStatus.Motion.bError,BOOL,,
,ReciprocalStatus.iCycleCount,INT,,
,ReciprocalStatus.iErrorId,INT,,
,ReciprocalStatus.iConsumedSignalSeq,INT,,
,ReciprocalStatus.iCompletedSignalSeq,INT,,
,ReciprocalStatus.bFinished,BOOL,,
,ReciprocalStatus.bBusy,BOOL,,
,ReciprocalStatus.bError,BOOL,,
,ReciprocalStatus.bAbort,BOOL,,
,ReciprocalStatus.bReturning,BOOL,,
,ReciprocalStatus.bCycleDone,BOOL,,
,ReciprocalStatus.bReadyForSignal,BOOL,,
,ReciprocalStatus.bPad0,BOOL,,
