序号,成员变量名,数据类型,注释,
1,Param,Stru_CondParams,,
,Param.SeatTwist,Stru_ReciprocationSettings,,
,Param.SeatTwist.arPosition,REAL[16],,
,Param.SeatTwist.arPosition[0],REAL,,
,Param.SeatTwist.arPosition[1],REAL,,
,Param.SeatTwist.arPosition[2],REAL,,
,Param.SeatTwist.arPosition[3],REAL,,
,Param.SeatTwist.arPosition[4],REAL,,
,Param.SeatTwist.arPosition[5],REAL,,
,Param.SeatTwist.arPosition[6],REAL,,
,Param.SeatTwist.arPosition[7],REAL,,
,Param.SeatTwist.arPosition[8],REAL,,
,Param.SeatTwist.arPosition[9],REAL,,
,Param.SeatTwist.arPosition[10],REAL,,
,Param.SeatTwist.arPosition[11],REAL,,
,Param.SeatTwist.arPosition[12],REAL,,
,Param.SeatTwist.arPosition[13],REAL,,
,Param.SeatTwist.arPosition[14],REAL,,
,Param.SeatTwist.arPosition[15],REAL,,
,Param.SeatTwist.arVelocity,REAL[16],,
,Param.SeatTwist.arVelocity[0],REAL,,
,Param.SeatTwist.arVelocity[1],REAL,,
,Param.SeatTwist.arVelocity[2],REAL,,
,Param.SeatTwist.arVelocity[3],REAL,,
,Param.SeatTwist.arVelocity[4],REAL,,
,Param.SeatTwist.arVelocity[5],REAL,,
,Param.SeatTwist.arVelocity[6],REAL,,
,Param.SeatTwist.arVelocity[7],REAL,,
,Param.SeatTwist.arVelocity[8],REAL,,
,Param.SeatTwist.arVelocity[9],REAL,,
,Param.SeatTwist.arVelocity[10],REAL,,
,Param.SeatTwist.arVelocity[11],REAL,,
,Param.SeatTwist.arVelocity[12],REAL,,
,Param.SeatTwist.arVelocity[13],REAL,,
,Param.SeatTwist.arVelocity[14],REAL,,
,Param.SeatTwist.arVelocity[15],REAL,,
,Param.SeatTwist.rAcc,REAL,,
,Param.SeatTwist.rDec,REAL,,
,Param.SeatTwist.rInitialPosition,REAL,,
,Param.SeatTwist.rReserved,REAL,,
,Param.SeatTwist.iVelocityMode,INT,,
,Param.SeatTwist.iCycleModeLen,INT,,
,Param.SeatTwist.iCycleCount,INT,,
,Param.SeatTwist.iSignalMode,INT,,
,Param.SeatTwist.iSegmentCount,INT,,
,Param.SeatTwist.iPadInt,INT,,
,Param.SeatTwist.bEnabled,BOOL,,
,Param.SeatTwist.bOneWay,BOOL,,
,Param.SeatTwist.abCycleMode,BOOL[16],,
,Param.SeatTwist.abCycleMode[0],BOOL,,
,Param.SeatTwist.abCycleMode[1],BOOL,,
,Param.SeatTwist.abCycleMode[2],BOOL,,
,Param.SeatTwist.abCycleMode[3],BOOL,,
,Param.SeatTwist.abCycleMode[4],BOOL,,
,Param.SeatTwist.abCycleMode[5],BOOL,,
,Param.SeatTwist.abCycleMode[6],BOOL,,
,Param.SeatTwist.abCycleMode[7],BOOL,,
,Param.SeatTwist.abCycleMode[8],BOOL,,
,Param.SeatTwist.abCycleMode[9],BOOL,,
,Param.SeatTwist.abCycleMode[10],BOOL,,
,Param.SeatTwist.abCycleMode[11],BOOL,,
,Param.SeatTwist.abCycleMode[12],BOOL,,
,Param.SeatTwist.abCycleMode[13],BOOL,,
,Param.SeatTwist.abCycleMode[14],BOOL,,
,Param.SeatTwist.abCycleMode[15],BOOL,,
,Param.SeatTwist.bPad0,BOOL,,
,Param.SeatTwist.bPad1,BOOL,,
,Param.LegAngle,Stru_ReciprocationSettings,,
,Param.LegAngle.arPosition,REAL[16],,
,Param.LegAngle.arPosition[0],REAL,,
,Param.LegAngle.arPosition[1],REAL,,
,Param.LegAngle.arPosition[2],REAL,,
,Param.LegAngle.arPosition[3],REAL,,
,Param.LegAngle.arPosition[4],REAL,,
,Param.LegAngle.arPosition[5],REAL,,
,Param.LegAngle.arPosition[6],REAL,,
,Param.LegAngle.arPosition[7],REAL,,
,Param.LegAngle.arPosition[8],REAL,,
,Param.LegAngle.arPosition[9],REAL,,
,Param.LegAngle.arPosition[10],REAL,,
,Param.LegAngle.arPosition[11],REAL,,
,Param.LegAngle.arPosition[12],REAL,,
,Param.LegAngle.arPosition[13],REAL,,
,Param.LegAngle.arPosition[14],REAL,,
,Param.LegAngle.arPosition[15],REAL,,
,Param.LegAngle.arVelocity,REAL[16],,
,Param.LegAngle.arVelocity[0],REAL,,
,Param.LegAngle.arVelocity[1],REAL,,
,Param.LegAngle.arVelocity[2],REAL,,
,Param.LegAngle.arVelocity[3],REAL,,
,Param.LegAngle.arVelocity[4],REAL,,
,Param.LegAngle.arVelocity[5],REAL,,
,Param.LegAngle.arVelocity[6],REAL,,
,Param.LegAngle.arVelocity[7],REAL,,
,Param.LegAngle.arVelocity[8],REAL,,
,Param.LegAngle.arVelocity[9],REAL,,
,Param.LegAngle.arVelocity[10],REAL,,
,Param.LegAngle.arVelocity[11],REAL,,
,Param.LegAngle.arVelocity[12],REAL,,
,Param.LegAngle.arVelocity[13],REAL,,
,Param.LegAngle.arVelocity[14],REAL,,
,Param.LegAngle.arVelocity[15],REAL,,
,Param.LegAngle.rAcc,REAL,,
,Param.LegAngle.rDec,REAL,,
,Param.LegAngle.rInitialPosition,REAL,,
,Param.LegAngle.rReserved,REAL,,
,Param.LegAngle.iVelocityMode,INT,,
,Param.LegAngle.iCycleModeLen,INT,,
,Param.LegAngle.iCycleCount,INT,,
,Param.LegAngle.iSignalMode,INT,,
,Param.LegAngle.iSegmentCount,INT,,
,Param.LegAngle.iPadInt,INT,,
,Param.LegAngle.bEnabled,BOOL,,
,Param.LegAngle.bOneWay,BOOL,,
,Param.LegAngle.abCycleMode,BOOL[16],,
,Param.LegAngle.abCycleMode[0],BOOL,,
,Param.LegAngle.abCycleMode[1],BOOL,,
,Param.LegAngle.abCycleMode[2],BOOL,,
,Param.LegAngle.abCycleMode[3],BOOL,,
,Param.LegAngle.abCycleMode[4],BOOL,,
,Param.LegAngle.abCycleMode[5],BOOL,,
,Param.LegAngle.abCycleMode[6],BOOL,,
,Param.LegAngle.abCycleMode[7],BOOL,,
,Param.LegAngle.abCycleMode[8],BOOL,,
,Param.LegAngle.abCycleMode[9],BOOL,,
,Param.LegAngle.abCycleMode[10],BOOL,,
,Param.LegAngle.abCycleMode[11],BOOL,,
,Param.LegAngle.abCycleMode[12],BOOL,,
,Param.LegAngle.abCycleMode[13],BOOL,,
,Param.LegAngle.abCycleMode[14],BOOL,,
,Param.LegAngle.abCycleMode[15],BOOL,,
,Param.LegAngle.bPad0,BOOL,,
,Param.LegAngle.bPad1,BOOL,,
,Param.ChestImpact,Stru_ReciprocationSettings,,
,Param.ChestImpact.arPosition,REAL[16],,
,Param.ChestImpact.arPosition[0],REAL,,
,Param.ChestImpact.arPosition[1],REAL,,
,Param.ChestImpact.arPosition[2],REAL,,
,Param.ChestImpact.arPosition[3],REAL,,
,Param.ChestImpact.arPosition[4],REAL,,
,Param.ChestImpact.arPosition[5],REAL,,
,Param.ChestImpact.arPosition[6],REAL,,
,Param.ChestImpact.arPosition[7],REAL,,
,Param.ChestImpact.arPosition[8],REAL,,
,Param.ChestImpact.arPosition[9],REAL,,
,Param.ChestImpact.arPosition[10],REAL,,
,Param.ChestImpact.arPosition[11],REAL,,
,Param.ChestImpact.arPosition[12],REAL,,
,Param.ChestImpact.arPosition[13],REAL,,
,Param.ChestImpact.arPosition[14],REAL,,
,Param.ChestImpact.arPosition[15],REAL,,
,Param.ChestImpact.arVelocity,REAL[16],,
,Param.ChestImpact.arVelocity[0],REAL,,
,Param.ChestImpact.arVelocity[1],REAL,,
,Param.ChestImpact.arVelocity[2],REAL,,
,Param.ChestImpact.arVelocity[3],REAL,,
,Param.ChestImpact.arVelocity[4],REAL,,
,Param.ChestImpact.arVelocity[5],REAL,,
,Param.ChestImpact.arVelocity[6],REAL,,
,Param.ChestImpact.arVelocity[7],REAL,,
,Param.ChestImpact.arVelocity[8],REAL,,
,Param.ChestImpact.arVelocity[9],REAL,,
,Param.ChestImpact.arVelocity[10],REAL,,
,Param.ChestImpact.arVelocity[11],REAL,,
,Param.ChestImpact.arVelocity[12],REAL,,
,Param.ChestImpact.arVelocity[13],REAL,,
