序号,成员变量名,数据类型,注释,
1,Condition,Stru_HMI_Condition,调理参数、控制、状态,
,Condition.Cmd,Stru_CondCmd,,
,Condition.Cmd.S1_StartProcess,BOOL,启动流程 (电平),
,Condition.Cmd.S2_StartChengJiao,BOOL,开始成角 (脉冲),
,Condition.Cmd.S3_AllowSignal,BOOL,确认信号 (脉冲),
,Condition.Cmd.bStop,BOOL,停止 (脉冲),
,Condition.Cmd.bSignal,BOOL,脚踏信号 (脉冲/电平),
,Condition.Cmd.bReset,BOOL,复位错误 (脉冲),
,Condition.Cmd.bPause,BOOL,暂停,
,Condition.Cmd.bResume,BOOL,恢复,
,Condition.Cmd.bSkipAngle,BOOL,"跳过成角 (脉冲, v3.16)",
,Condition.Cmd.bPpad,BOOL[7],,
,Condition.Cmd.bPpad[0],BOOL,,
,Condition.Cmd.bPpad[1],BOOL,,
,Condition.Cmd.bPpad[2],BOOL,,
,Condition.Cmd.bPpad[3],BOOL,,
,Condition.Cmd.bPpad[4],BOOL,,
,Condition.Cmd.bPpad[5],BOOL,,
,Condition.Cmd.bPpad[6],BOOL,,
,Condition.Param,Stru_CondParams,,
,Condition.Param.SeatTwist,Stru_ReciprocationSettings,,
,Condition.Param.SeatTwist.arPosition,REAL[16],,
,Condition.Param.SeatTwist.arPosition[0],REAL,,
,Condition.Param.SeatTwist.arPosition[1],REAL,,
,Condition.Param.SeatTwist.arPosition[2],REAL,,
,Condition.Param.SeatTwist.arPosition[3],REAL,,
,Condition.Param.SeatTwist.arPosition[4],REAL,,
,Condition.Param.SeatTwist.arPosition[5],REAL,,
,Condition.Param.SeatTwist.arPosition[6],REAL,,
,Condition.Param.SeatTwist.arPosition[7],REAL,,
,Condition.Param.SeatTwist.arPosition[8],REAL,,
,Condition.Param.SeatTwist.arPosition[9],REAL,,
,Condition.Param.SeatTwist.arPosition[10],REAL,,
,Condition.Param.SeatTwist.arPosition[11],REAL,,
,Condition.Param.SeatTwist.arPosition[12],REAL,,
,Condition.Param.SeatTwist.arPosition[13],REAL,,
,Condition.Param.SeatTwist.arPosition[14],REAL,,
,Condition.Param.SeatTwist.arPosition[15],REAL,,
,Condition.Param.SeatTwist.arVelocity,REAL[16],,
,Condition.Param.SeatTwist.arVelocity[0],REAL,,
,Condition.Param.SeatTwist.arVelocity[1],REAL,,
,Condition.Param.SeatTwist.arVelocity[2],REAL,,
,Condition.Param.SeatTwist.arVelocity[3],REAL,,
,Condition.Param.SeatTwist.arVelocity[4],REAL,,
,Condition.Param.SeatTwist.arVelocity[5],REAL,,
,Condition.Param.SeatTwist.arVelocity[6],REAL,,
,Condition.Param.SeatTwist.arVelocity[7],REAL,,
,Condition.Param.SeatTwist.arVelocity[8],REAL,,
,Condition.Param.SeatTwist.arVelocity[9],REAL,,
,Condition.Param.SeatTwist.arVelocity[10],REAL,,
,Condition.Param.SeatTwist.arVelocity[11],REAL,,
,Condition.Param.SeatTwist.arVelocity[12],REAL,,
,Condition.Param.SeatTwist.arVelocity[13],REAL,,
,Condition.Param.SeatTwist.arVelocity[14],REAL,,
,Condition.Param.SeatTwist.arVelocity[15],REAL,,
,Condition.Param.SeatTwist.rAcc,REAL,"(* 加速度：运动加速阶段的加速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",
,Condition.Param.SeatTwist.rDec,REAL,"  (* 减速度：运动减速阶段的减速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",
,Condition.Param.SeatTwist.rInitialPosition,REAL,"初始位置：运动开始前的参考位置       用于某些需要回原点的场景       单位：用户单位",
,Condition.Param.SeatTwist.rReserved,REAL,,
,Condition.Param.SeatTwist.iVelocityMode,INT,"速度切换模式 (* 速度模式：       0 = 各段使用独立速度（arVelocity 数组）       1 = 所有段使用 arVelocity[0] 的速度 *)",
,Condition.Param.SeatTwist.iCycleModeLen,INT," 方向数组有效长度：abCycleMode 的有效元素个数       范围：1 ~ 16       例如 iCycleModeLen=2 时，方向按 [0,1,0,1...] 循环",
,Condition.Param.SeatTwist.iCycleCount,INT,"循环次数：该轴独立的循环次数设置       -1 = 使用 Stru_工作参数.iCycleCount 全局值       ≥0 = 使用此独立值       一次循环 = 执行完 arPosition 全部段 ",
,Condition.Param.SeatTwist.iSignalMode,INT,"信号模式：该轴独立的信号触发模式       -1 = 使用 Stru_工作参数.iSignalMode 全局值       0  = 点动模式：每次循环都需要信号触发       1  = 连动模式：首次需要信号，后续自动执行",
,Condition.Param.SeatTwist.iSegmentCount,INT,"运动段数：arPosition/arVelocity 的有效元素个数       范围：1 ~ 16       ?? 必须 > 0，否则报错 1005",
,Condition.Param.SeatTwist.iPadInt,INT,,
,Condition.Param.SeatTwist.bEnabled,BOOL,"轴使能：是否启用此轴的往复运动       TRUE  = 启用，参与联动       FALSE = 禁用，不执行运动（用于 2 轴联动场景）",
,Condition.Param.SeatTwist.bOneWay,BOOL,单向还是多向,
,Condition.Param.SeatTwist.abCycleMode,BOOL[16],,
,Condition.Param.SeatTwist.abCycleMode[0],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[1],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[2],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[3],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[4],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[5],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[6],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[7],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[8],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[9],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[10],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[11],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[12],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[13],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[14],BOOL,,
,Condition.Param.SeatTwist.abCycleMode[15],BOOL,,
,Condition.Param.SeatTwist.bPad0,BOOL,,
,Condition.Param.SeatTwist.bPad1,BOOL,,
,Condition.Param.LegAngle,Stru_ReciprocationSettings,,
,Condition.Param.LegAngle.arPosition,REAL[16],,
,Condition.Param.LegAngle.arPosition[0],REAL,,
,Condition.Param.LegAngle.arPosition[1],REAL,,
,Condition.Param.LegAngle.arPosition[2],REAL,,
,Condition.Param.LegAngle.arPosition[3],REAL,,
,Condition.Param.LegAngle.arPosition[4],REAL,,
,Condition.Param.LegAngle.arPosition[5],REAL,,
,Condition.Param.LegAngle.arPosition[6],REAL,,
,Condition.Param.LegAngle.arPosition[7],REAL,,
,Condition.Param.LegAngle.arPosition[8],REAL,,
,Condition.Param.LegAngle.arPosition[9],REAL,,
,Condition.Param.LegAngle.arPosition[10],REAL,,
,Condition.Param.LegAngle.arPosition[11],REAL,,
,Condition.Param.LegAngle.arPosition[12],REAL,,
,Condition.Param.LegAngle.arPosition[13],REAL,,
,Condition.Param.LegAngle.arPosition[14],REAL,,
,Condition.Param.LegAngle.arPosition[15],REAL,,
,Condition.Param.LegAngle.arVelocity,REAL[16],,
,Condition.Param.LegAngle.arVelocity[0],REAL,,
,Condition.Param.LegAngle.arVelocity[1],REAL,,
