序号,成员变量名,数据类型,注释,
1,rPresetDeg,REAL,本周期Preset目标角度 (仅bResetOrigin时有效),
2,iErrorCode,INT,FB 内部错误码 (供 OUTPUT_ADAPTER 回写全局状态),
3,bRunUp,BOOL,,
4,bRunDown,BOOL,,
5,bBusy,BOOL,,
6,bDone,BOOL,,
7,bError,BOOL,,
8,bStall,BOOL,,
9,bTimeout,BOOL,,
10,bHoming,BOOL,,
11,bHomed,BOOL,,
12,bCalibrated,BOOL,,
13,bHomeSwitch,BOOL,,
14,bReferenceValid,BOOL,,
15,bHomeSensorHealthy,BOOL,,
16,bHomeSensorStuckOn,BOOL,,
17,bHomeSensorStuckOff,BOOL,,
18,bHomePlausible,BOOL,,
19,bResetOrigin,BOOL,,
20,bSensorChecked,BOOL,,
21,bAutoMovePending,BOOL,,
22,bAutoMoveAllowed,BOOL,,
