序号,成员变量名,数据类型,注释,
1,Input,Stru_PusherInput,电推杆输入,
,Input.rActPulse,REAL,,
,Input.rActSpeed,REAL,,
,Input.rActCurrent,REAL,,
,Input.rAdAngle,REAL,,
,Input.diAdRaw,DINT,,
,Input.bAdValid,BOOL,,
2,Status,Stru_PusherStatus,电推杆状态,
,Status.rCurrAngle,REAL,,
,Status.rCurrPulse,REAL,,
,Status.rPresetDeg,REAL,,
,Status.rReserved,REAL,,
,Status.iErrorCode,INT,,
,Status.iRetryCount,INT,,
,Status.bCalibrated,BOOL,,
,Status.bHomed,BOOL,,
,Status.bHoming,BOOL,,
,Status.bHomeSwitch,BOOL,,
,Status.bReferenceValid,BOOL,,
,Status.bHomeSensorHealthy,BOOL,,
,Status.bHomeSensorStuckOn,BOOL,,
,Status.bHomeSensorStuckOff,BOOL,,
,Status.bHomePlausible,BOOL,,
,Status.bRunUp,BOOL,,
,Status.bRunDown,BOOL,,
,Status.bBusy,BOOL,,
,Status.bDone,BOOL,,
,Status.bError,BOOL,,
,Status.bWarning,BOOL,,
,Status.bStall,BOOL,,
,Status.bTimeout,BOOL,,
,Status.bPosLimit,BOOL,,
,Status.bNegLimit,BOOL,,
,Status.bAtInit,BOOL,,
,Status.bSensorChecked,BOOL,,
,Status.bAutoMovePending,BOOL,,
,Status.bAutoMoveAllowed,BOOL,,
,Status.bPadDiag0,BOOL,,
,Status.bPadDiag1,BOOL,,
3,Cmd,Stru_PusherCmd,电推杆指令,
,Cmd.bEnable,BOOL,,
,Cmd.bStop,BOOL,,
,Cmd.bReset,BOOL,,
,Cmd.bCalibrate,BOOL,,
,Cmd.bAutoMove,BOOL,,
,Cmd.bHome,BOOL,,
,Cmd.bJogUp,BOOL,,
,Cmd.bJogDown,BOOL,,
,Cmd.bManualPreset,BOOL,,
,Cmd.bResetError,BOOL,,
,Cmd.bPad,BOOL[6],,
,Cmd.bPad[0],BOOL,,
,Cmd.bPad[1],BOOL,,
,Cmd.bPad[2],BOOL,,
,Cmd.bPad[3],BOOL,,
,Cmd.bPad[4],BOOL,,
,Cmd.bPad[5],BOOL,,
4,Config,Stru_PusherLimitConfig,当前生效限位参数,
,Config.rMaxDeg,REAL,,
,Config.rMinDeg,REAL,,
,Config.rTolerance,REAL,,
,Config.rInitialPosition,REAL,,
,Config.rMinTravel,REAL,,
,Config.rHomePosition,REAL,,
,Config.rPulsePerDeg,REAL,,
,Config.rAdOffset,REAL,,
,Config.rAdScale,REAL,,
,Config.rFitK0,REAL,,
,Config.rFitK1,REAL,,
,Config.rFitK2,REAL,,
,Config.rFitK3,REAL,,
,Config.rAdJumpLimitDeg,REAL,,
,Config.rInertiaUp,REAL,,
,Config.rInertiaDown,REAL,,
,Config.rStallThreshold,REAL,,
,Config.rStallSpeedThreshold,REAL,,
,Config.diStallTimeout,DINT,,
,Config.diTimeout,DINT,,
,Config.diReverseDelay,DINT,,
,Config.diStopCheck,DINT,,
,Config.diAdMin,DINT,,
,Config.diAdMax,DINT,,
,Config.diAdSampleMs,DINT,,
,Config.iMaxRetries,INT,,
,Config.iReferenceMode,INT,,
,Config.iPad,INT,,
,Config.bInvertPusherDirection,BOOL,,
5,ConfigBuffer,Stru_PusherLimitConfig,限位参数编辑缓冲区 编辑缓存,
,ConfigBuffer.rMaxDeg,REAL,,
,ConfigBuffer.rMinDeg,REAL,,
,ConfigBuffer.rTolerance,REAL,,
,ConfigBuffer.rInitialPosition,REAL,,
,ConfigBuffer.rMinTravel,REAL,,
,ConfigBuffer.rHomePosition,REAL,,
,ConfigBuffer.rPulsePerDeg,REAL,,
,ConfigBuffer.rAdOffset,REAL,,
,ConfigBuffer.rAdScale,REAL,,
,ConfigBuffer.rFitK0,REAL,,
,ConfigBuffer.rFitK1,REAL,,
,ConfigBuffer.rFitK2,REAL,,
,ConfigBuffer.rFitK3,REAL,,
,ConfigBuffer.rAdJumpLimitDeg,REAL,,
,ConfigBuffer.rInertiaUp,REAL,,
,ConfigBuffer.rInertiaDown,REAL,,
,ConfigBuffer.rStallThreshold,REAL,,
,ConfigBuffer.rStallSpeedThreshold,REAL,,
,ConfigBuffer.diStallTimeout,DINT,,
,ConfigBuffer.diTimeout,DINT,,
,ConfigBuffer.diReverseDelay,DINT,,
,ConfigBuffer.diStopCheck,DINT,,
,ConfigBuffer.diAdMin,DINT,,
,ConfigBuffer.diAdMax,DINT,,
,ConfigBuffer.diAdSampleMs,DINT,,
,ConfigBuffer.iMaxRetries,INT,,
,ConfigBuffer.iReferenceMode,INT,,
,ConfigBuffer.iPad,INT,,
,ConfigBuffer.bInvertPusherDirection,BOOL,,
6,ConfigCmd,Stru_ConfigCmd,限位参数操作指令,
,ConfigCmd.iErrorCode,INT,,
,ConfigCmd.bLoad,BOOL,,
,ConfigCmd.bApply,BOOL,,
,ConfigCmd.bSave,BOOL,,
,ConfigCmd.bResetDefault,BOOL,,
,ConfigCmd.bSuccess,BOOL,,
,ConfigCmd.bError,BOOL,,
,ConfigCmd.bPad0,BOOL,,
,ConfigCmd.bPad1,BOOL,,
7,Motion,Stru_PusherMotion,,
,Motion.rTargetAngle,REAL,,
,Motion.rManualPresetAngle,REAL,,
,Motion.diJogTime,DINT,,
,Motion.diMoveTimeout,DINT,,
,Motion.bJogModeTimed,BOOL,,
,Motion.bPad0,BOOL,,
