序号,成员变量名,数据类型,注释,
1,adMotionDuration,DINT[16],记录一个循环周期各动作用时。最大记录5段 每两位为一组，低位为阶段1 高位为阶段2,
,adMotionDuration[0],DINT,,
,adMotionDuration[1],DINT,,
,adMotionDuration[2],DINT,,
,adMotionDuration[3],DINT,,
,adMotionDuration[4],DINT,,
,adMotionDuration[5],DINT,,
,adMotionDuration[6],DINT,,
,adMotionDuration[7],DINT,,
,adMotionDuration[8],DINT,,
,adMotionDuration[9],DINT,,
,adMotionDuration[10],DINT,,
,adMotionDuration[11],DINT,,
,adMotionDuration[12],DINT,,
,adMotionDuration[13],DINT,,
,adMotionDuration[14],DINT,,
,adMotionDuration[15],DINT,,
2,Motion,Stru_MoveBufferState,底层 MC_MoveBuffer 原始输出,
,Motion.iIndex,INT,,
,Motion.iErrorId,INT,,
,Motion.bDone,BOOL,,
,Motion.bBusy,BOOL,,
,Motion.bCommandAborted,BOOL,,
,Motion.bError,BOOL,,
3,iCycleCount,INT, 已完成循环数：累计完成的循环次数       用于显示进度：已完成/总次数 ,
4,iErrorId,INT, FB 错误码：功能块内部错误代码       1005 = iSegmentCount 配置错误       1006 = iCycleModeLen 配置错误       1020 = Step 30 超时（运动未启动）,
5,iConsumedSignalSeq,INT, 最近一次已消费的统一信号序号,
6,iCompletedSignalSeq,INT,最近一次已完成的统一信号序号,
7,bFinished,BOOL,完成标志：FB 已完成所有循环       TRUE = 全部循环执行完成       在 in_bExcute 下降沿后复位 ,
8,bBusy,BOOL, 忙碌标志：FB 正在执行往复运动       TRUE = 正在运动中       FALSE = 空闲或已完成,
9,bError,BOOL, 错误标志：FB 执行过程中发生错误       TRUE = 发生错误，详见 iErrorId       需要用户复位,
10,bAbort,BOOL,中止标志：FB 被外部中止       TRUE = 被 in_bDiscontinued 信号中止,
11,bReturning,BOOL,正在返回,
12,bCycleDone,BOOL,单次缓冲运动完成脉冲 (供 TriAxisMotion 同步),
13,bReadyForSignal,BOOL,,
14,bPad0,BOOL,,
