序号,成员变量名,数据类型,注释,
1,Input,Stru_SystemInput,物理输入 (急停/复位/脚踏/安全门),
,Input.bEstopActive,BOOL,,
,Input.bResetActive,BOOL,,
,Input.bFootSwitchActive,BOOL,,
,Input.bPusherOrigin,BOOL,,
,Input.bSafetyDoorOpen,BOOL,,
,Input.bSafetyDoorActive,BOOL,,
,Input.bPad0,BOOL,,
,Input.bPad1,BOOL,,
2,Cmd,Stru_SystemCmd,系统指令 (HMI 写入),
,Cmd.bTriggerEmergency,BOOL,,
,Cmd.bHardStop,BOOL,,
,Cmd.bStop,BOOL,,
,Cmd.bAutoReq,BOOL,,
,Cmd.bServiceReq,BOOL,,
,Cmd.bHomingReq,BOOL,,
,Cmd.bResetReq,BOOL,,
,Cmd.bCalibReq,BOOL,,
,Cmd.bServiceDone,BOOL,,
,Cmd.bReadyCheckReq,BOOL,,
,Cmd.bQuickStart,BOOL,,
,Cmd.bForceSkipSelfTest,BOOL,,
,Cmd.bClearZeroRetain,BOOL,,
,Cmd.bAckError,BOOL,,
,Cmd.bLearnImpactBias,BOOL,,
,Cmd.bRevalidateParams,BOOL,,
,Cmd.bAllPowerOn,BOOL,,
,Cmd.bAllPowerOff,BOOL,,
,Cmd.bServiceAuthConfirm,BOOL,,
,Cmd.bNoLoadConfirm,BOOL,,
,Cmd.bServiceMechHomeReq,BOOL,,
,Cmd.bInitializeReq,BOOL,,
,Cmd.bSelfTestConfirm,BOOL,,
,Cmd.bSelfTestSkip,BOOL,,
,Cmd.bSelfTestEngAuth,BOOL,,
,Cmd.bResetDoneAck,BOOL,,
,Cmd.bStartSelfTest,BOOL,,
,Cmd.bHomingDoneAck,BOOL,,
3,Status,Stru_SystemStatus,系统状态 (只读),
,Status.iState,INT,,
,Status.iPrevState,INT,,
,Status.diUpTime,DINT,,
,Status.rTailDriftPulse,REAL,,
,Status.diReadyCheckResult,DINT,,
,Status.iHealthLevel,INT,,
,Status.bAllAxesReferenced,BOOL,,
,Status.bAllAxesHomed,BOOL,,
,Status.bAllAxesAtInit,BOOL,,
,Status.bAllAxesIdle,BOOL,,
,Status.bAnyAxisFault,BOOL,,
,Status.bAnyAxisAtLimit,BOOL,,
,Status.bAnyAxisBusy,BOOL,,
,Status.bReady,BOOL,,
,Status.bSafeToStart,BOOL,,
,Status.bAbsPositionValid,BOOL,,
,Status.bSensitiveRunning,BOOL,,
,Status.bPositionSuspected,BOOL,,
,Status.bInitialized,BOOL,,
,Status.bParamInitialized,BOOL,,
,Status.bPowerOn,BOOL,,
,Status.bPoweringUp,BOOL,,
,Status.bNeedReset,BOOL,,
,Status.bAllServoReady,BOOL,,
,Status.bTailSensorAtBoot,BOOL,,
,Status.bHealthCheckSkipped,BOOL,,
,Status.bSelfTestDone,BOOL,,
,Status.bParamValid,BOOL,,
,Status.bHcValid,BOOL,,
,Status.bSkipSelfTestAllowed,BOOL,,
,Status.bForceSkipSelfTestAllowed,BOOL,,
4,Error,Stru_SystemError,6. 报警,
,Error.iLevel,INT,,
,Error.iCode,INT,,
,Error.iSource,INT,,
,Error.iSubCode,INT,,
,Error.iVal1,INT,,
,Error.iVal2,INT,,
,Error.iPriority,REAL,,
,Error.iReserved1,BOOL,,
,Error.bActive,BOOL,,
,Error.bCritical,BOOL,,
,Error.bEscalated,BOOL,,
,Error.bNeedReset,BOOL,,
,Error.bPad0,BOOL,,
,Error.bPad1,INT,,
,Error.bPad2,BOOL,,
,Error.bPad3,BOOL,,
