序号,成员变量名,数据类型,注释,
1,bTriggerEmergency,BOOL,HMI 触发软急停 (如界面上的急停按钮),
2,bHardStop,BOOL,升级硬急停,
3,bStop,BOOL,通用停止 (软停止，减速停车),
4,bAutoReq,BOOL,自动模式请求,
5,bServiceReq,BOOL,手动模式请求,
6,bHomingReq,BOOL,回零请求,
7,bResetReq,BOOL,复位请求,
8,bCalibReq,BOOL,校准请求,
9,bServiceDone,BOOL,服务完成 → READY_CHECK(3),
10,bReadyCheckReq,BOOL,手动重新资格检查,
11,bQuickStart,BOOL,操作员快速启动 (需 bSkipSelfTestAllowed),
12,bForceSkipSelfTest,BOOL,管理员强制跳过自检 (需 bForceSkipSelfTestAllowed),
13,bClearZeroRetain,BOOL,清除建零 Retain,
14,bAckError,BOOL,确认报警,
15,bLearnImpactBias,BOOL,冲击轴扭矩基线学习请求,
16,bRevalidateParams,BOOL,HMI 请求重新校验参数,
17,bAllPowerOn,BOOL,全部上电/使能,
18,bAllPowerOff,BOOL,全部断电/去使能,
19,bServiceAuthConfirm,BOOL,"维护授权软件确认 (电平, 建零门禁条件之一)",
20,bNoLoadConfirm,BOOL," 无负载软件确认 (电平, 建零门禁条件之一)",
21,bServiceMechHomeReq,BOOL,"维护授权软件确认 (电平, 建零门禁条件之一)",
22,bInitializeReq,BOOL,开机初始化请求,
23,bSelfTestConfirm,BOOL,[V4.3] HMI 确认安全，开始动态自检,
24,bSelfTestSkip,BOOL,HMI 要求跳过动态自检,
25,bSelfTestEngAuth,BOOL,"自检工程师授权 (电平, 允许有限步骤跳过)",
26,bResetDoneAck,BOOL,"复位完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",
27,bStartSelfTest,BOOL,,
28,bHomingDoneAck,BOOL,"普通回零完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",
