序号,成员变量名,数据类型,注释,
1,iAssertCode,INT,开发断言,
2,iLastErrorCode,INT,上次错误,
3,iLastErrorSource,INT,上次错误来源,
4,iScanCount,INT,扫描周期计数,
5,bLastShutdownClean,BOOL,"次正常关机 (Retain, SBR_POWER 写入)",
6,bParamChangedSinceSelfTest,BOOL," 参数变化脏标记 (SBR_PARAM_SERVICE 置位, SELFTEST Step100 清零)",
7,bServiceMotionSinceSelfTest,BOOL,"服务动作脏标记 (SBR_TASK_SERVICE 置位, SELFTEST Step100 清零)",
8,bReferenceChangedSinceSelfTest,BOOL,"参考变化脏标记 (SBR_OUTPUT_ADAPTER 置位, SELFTEST Step100 清零)",
9,bFaultOccurredSinceSelfTest,BOOL,"故障发生脏标记 (SBR_ERROR_MANAGER 置位, SELFTEST Step100 清零)",
10,bPad0,BOOL,,
