序号,成员变量名,数据类型,注释,
1,iLevel,INT,"错误等级 (0=Info 1=Warning 2=Critical)// 2=L2 Severe (执行级, 暂停流程)// 3=L3 Warning ",
2,iCode,INT,"主错误码 (按 CONST_Definitions, 当前覆盖 1xxx~6xxx)",
3,iSource,INT,"错误来源 (0=系统, 1=冲击, 2=角度, 3=扭角, 4=推杆)",
4,iSubCode,INT,原始/子错误码 (用于追溯),
5,iVal1,INT,附加参数1 (如轴ID),
6,iVal2,INT,附加参数2 (保留),
7,iPriority,REAL,当前活动错误的仲裁权重 (ERROR_MANAGER 写入),
8,iReserved1,BOOL,,
9,bActive,BOOL,是否有激活的报警,
10,bCritical,BOOL,L2 致命 (触发 SAFETY_MANAGER 急停路径),
11,bEscalated,BOOL,是否经过升级(软急停->硬急停),
12,bNeedReset,BOOL,升级标志 (低级别因未处理而升级),
13,bPad0,BOOL,任意轴有故障 (快照),
14,bPad1,INT,预留,
15,bPad2,BOOL,,
16,bPad3,BOOL,,
