序号,成员变量名,数据类型,注释,
1,HomingParams,Stru_HomingParams,键回零/归位参数,
,HomingParams.rLimitEscapeVel,REAL,,
,HomingParams.rChestJogVel,REAL,,
,HomingParams.rLegJogVel,REAL,,
,HomingParams.rSeatJogVel,REAL,,
,HomingParams.rChestCrawlVel,REAL,,
,HomingParams.rLegCrawlVel,REAL,,
,HomingParams.rSeatCrawlVel,REAL,,
,HomingParams.rChestApproachZone,REAL,,
,HomingParams.rLegApproachZone,REAL,,
,HomingParams.rSeatApproachZone,REAL,,
,HomingParams.rChestHysteresis,REAL,,
,HomingParams.rLegHysteresis,REAL,,
,HomingParams.rSeatHysteresis,REAL,,
,HomingParams.rChestJogAcc,REAL,,
,HomingParams.rLegJogAcc,REAL,,
,HomingParams.rSeatJogAcc,REAL,,
,HomingParams.rAntiPinchTorqueLimit,REAL,,
,HomingParams.diHomingTimeout,DINT,,
,HomingParams.diEmergencyTimeout,DINT,,
,HomingParams.diLimitEscapeTimeout,DINT,,
,HomingParams.diStopReleaseTimeout,DINT,,
,HomingParams.diEmergencyCoastMs,DINT,,
,HomingParams.diEmergencyStallTimeout,DINT,,
,HomingParams.iHomingMode,INT,,
,HomingParams.iMaxRetry,INT,,
,HomingParams.bEmergencyAllowCalib,BOOL,,
,HomingParams.bPad0,BOOL,,
2,rForcePerPct,REAL,"冲击力换算系数 (N/%, 取决于电机+减速比+丝杆导程)",
3,rForceLimitN,REAL,"超力保护阈值 (N, <=0 禁用)    rForceDeadbandPct   : REAL;     // 净扭矩死区 (%)",
4,rForceDeadbandPct,REAL,净扭矩死区,
5,rForceStandstillVel,REAL,静止速度阈值,
6,rForceFilterAlpha,REAL,一阶低通系数,
7,diSoftStopTime,DINT,软急停减速时间 (ms),
8,diStopTimeout,DINT,停止超时 (ms),
9,diResetTimeout,DINT, 复位超时 (ms),
10,diPowerOnDelay,DINT,"分时上电等待 (ms, SBR_POWER 使用)",
11,diOverForceMs,DINT,超力持续判定时间,
12,iWorkMode,INT,"业务模式: 1=调理, 2=治疗, 3=老化测试",
13,iEstopMode,INT,急停模式 (0=硬急停直接断电 1=软急停减速),
14,iUserRole,INT,"用户角色 (0=ROLE_OPERATOR 1=ROLE_ENGINEER, HMI设置)",
15,iAuthCode,INT,"权限校验码 (HMI 登录写 16#5A, 退出写 0, 防误写保护)",
